Insurance Company,BCBS Prefix,LOC,Total Units,Allowed %,Paid %,Avg Daily Rate,Last Paid
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,S5K,CD IOP,15,16.90%,12.50%,$306.66,03/21/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,SHP,CD PHP,2 12,34.50%,33.60%,"$1,206.89",08/01/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,SHP,CD IOP,39,31.30%,29.60%,$964.10,10/30/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,SHP,MH IOP,23,27.40%,27.30%,$895.65,11/10/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,SHP,OP GROUP,17,22.30%,21.20%,$400.00,10/30/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,XGR,DTX,7,17.00%,14.30%,$878.00,01/31/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,XGR,CD RTC,20,48.10%,48.10%,"$2,339.00",01/04/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,XGS,CD PHP,28,26.60%,26.60%,$888.21,10/04/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,XYN,CD PHP,2,17.50%,12.30%,$570.00,06/22/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,BBV,MH RTC,25,59.90%,56.00%,"$2,874.72",04/25/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,BMH,MH PHP,14,6.60%,3.20%,$267.68,01/18/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,BMH,MH IOP,8,12.60%,7.60%,$378.00,01/31/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,FAA,CD PHP,25,36.90%,32.60%,"$1,200.00",03/07/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,FAA,CD IOP,59,29.10%,29.10%,$873.22,05/23/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,FAA,MH IOP,21,13.70%,13.70%,$400.00,07/03/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,FAA,OP GROUP,14,35.70%,35.70%,$614.29,06/26/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,UPD,DTX,15,50.00%,50.00%,"$2,475.00",11/29/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,UPD,CD RTC,7,50.00%,50.00%,"$2,225.00",11/29/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,VZC,CD PHP,19,17.00%,17.00%,$553.00,08/21/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,VZC,CD IOP,3,10.50%,10.50%,$300.00,08/28/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,VZR,CD PHP,7,15.80%,9.50%,$553.00,06/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,X4B,CD RTC,10,18.10%,18.10%,$894.00,07/20/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF WISCONSIN,X4B,CD PHP,43,15.50%,15.50%,$553.40,08/01/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,AHX,MH PHP,23,36.10%,27.40%,"$1,200.00",09/05/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,AHX,MH IOP,46,34.20%,34.20%,"$1,000.00",11/03/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,AHX,OP GROUP,15,33.40%,33.40%,$600.00,11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,AKH,DTX,3,55.30%,24.10%,"$3,196.42",11/28/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,AKH,CD RTC,15,43.80%,11.50%,"$1,872.02",11/28/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,AKH,CD PHP,24,40.20%,34.20%,"$1,204.98",08/04/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,AKH,OP INDIVIDUAL,2,40.40%,12.80%,$343.19,07/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,ANT,DTX,8,55.00%,38.40%,"$2,901.25",10/18/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,ANT,CD RTC,13,21.90%,21.90%,$992.31,05/09/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,BFK,CD PHP,22,36.90%,36.90%,"$1,200.00",09/05/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,BFK,CD IOP,30,24.90%,24.90%,$788.54,10/30/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CBK,CD PHP,7,33.70%,33.70%,"$1,268.40",11/08/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CBP,CD PHP,7,25.10%,9.00%,$922.71,10/16/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CFY,DTX,19,60.00%,60.00%,"$3,270.00",10/06/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CFY,CD RTC,76,57.70%,57.10%,"$2,888.05",11/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CKU,MH PHP,3,4.90%,3.20%,$162.99,05/10/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CVG,CD PHP,22,36.90%,36.90%,"$1,200.00",01/18/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CVG,CD IOP,20,29.50%,22.00%,$799.70,03/21/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CVG,MH IOP,34,10.60%,10.60%,$311.00,05/31/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CVG,OP GROUP,5,35.00%,35.00%,$628.25,02/28/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CXE,MH IOP,5,10.60%,2.10%,$311.00,07/03/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CZQ,CD RTC,2,100.00%,25.60%,"$4,750.00",11/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,CZQ,CD PHP,25,34.30%,34.30%,"$1,200.00",04/11/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DAY,DTX,7,61.60%,37.60%,"$3,361.79",11/15/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DAY,CD RTC,10,60.00%,60.00%,"$2,835.00",03/21/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DCB,CD PHP,6,40.20%,40.20%,"$1,204.97",11/17/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DCB,CD IOP,5,51.70%,51.70%,"$1,288.92",11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DZN,CD PHP,25,31.40%,24.00%,"$1,098.50",06/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DZN,CD IOP,40,33.10%,29.50%,$955.81,07/24/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DZN,OP INDIVIDUAL,4,18.00%,18.00%,$62.88,06/22/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DZV,DTX,22,54.00%,53.90%,"$2,955.37",10/06/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DZV,CD RTC,34,55.70%,54.40%,"$2,504.11",10/06/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DZV,CD PHP,37,29.40%,28.80%,"$1,065.44",11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,DZV,CD IOP,6,21.40%,21.40%,$753.00,11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,EEH,CD PHP,3,17.50%,17.50%,$570.00,02/07/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,EXI,CD PHP,27,36.90%,36.90%,"$1,200.00",05/31/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,EXI,CD IOP,29,35.10%,35.10%,"$1,000.00",07/17/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,EXI,MH IOP,29,34.20%,34.20%,"$1,000.00",08/28/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,EXI,OP GROUP,20,37.90%,37.90%,$641.46,09/25/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,EZV,DTX,8,60.00%,60.00%,"$3,465.00",07/24/2023
