Insurance Company,BCBS Prefix,LOC,Total Units,Allowed %,Paid %,Avg Daily Rate,Last Paid
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,MBW,CD IOP,32,35.10%,35.10%,"$1,000.00",12/13/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,MSC,CD PHP,20,38.80%,30.20%,"$1,215.01",03/01/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,MSC,CD IOP,35,33.90%,29.00%,$810.63,03/22/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,MSC,MH IOP,10,30.40%,30.40%,$888.39,04/12/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,MSC,OP GROUP,35,8.90%,8.90%,$191.78,05/24/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,OHB,CD PHP,40,16.30%,13.90%,$553.00,11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,OHS,CD IOP,12,32.10%,18.00%,$739.58,10/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,ONL,DTX,7,57.80%,47.70%,"$3,050.00",04/04/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,ONL,CD RTC,11,57.80%,57.80%,"$2,732.00",04/18/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,P3R,DTX,6,60.00%,27.10%,"$3,465.00",08/29/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,P3R,CD RTC,23,60.00%,55.10%,"$3,135.00",09/19/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,SIT,CD RTC,28,60.00%,55.10%,"$2,970.00",04/11/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,SIT,CD PHP,14,50.60%,50.60%,"$2,000.00",04/18/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,SQC,MH PHP,40,36.10%,36.10%,"$1,200.00",11/22/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,SQC,MH IOP,34,29.30%,29.30%,$855.59,01/10/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,SXQ,CD PHP,5,35.40%,35.40%,$771.99,08/07/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,SXQ,CD IOP,17,12.30%,11.80%,$338.87,10/11/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,TOH,DTX,7,50.40%,30.20%,"$2,496.43",10/25/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,TOH,CD RTC,19,50.00%,48.70%,"$2,225.00",11/08/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,TOH,CD PHP,4,50.00%,50.00%,"$1,875.00",11/15/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,UQV,DTX,5,58.60%,58.60%,"$3,688.04",03/15/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,UQV,CD RTC,23,59.60%,59.60%,"$2,921.34",04/19/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,V6S,CD PHP,5,34.30%,34.30%,"$1,200.00",08/08/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X2N,DTX,8,60.00%,60.00%,"$3,270.00",09/11/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X2N,CD RTC,13,48.70%,48.70%,"$2,303.85",06/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X2N,CD PHP,5,16.50%,16.50%,$535.08,10/16/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X5H,DTX,7,70.00%,68.80%,"$3,675.00",06/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X5H,CD RTC,27,70.00%,70.00%,"$3,325.00",07/17/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X5H,CD PHP,26,36.90%,36.50%,"$1,200.00",08/14/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X5H,CD IOP,39,29.10%,29.10%,$852.98,10/10/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X5H,MH IOP,27,34.20%,34.20%,"$1,000.00",11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X5H,OP GROUP,4,35.00%,35.00%,$628.25,10/10/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,XTU,CD PHP,45,35.20%,30.40%,"$1,123.62",11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,XTU,CD IOP,42,35.10%,35.10%,"$1,000.00",11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,XTU,MH IOP,36,10.60%,10.60%,$311.00,07/03/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,XTU,OP GROUP,15,38.60%,38.60%,$693.33,07/17/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,YRP,CD RTC,4,37.90%,33.80%,"$2,271.25",12/28/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,YRP,CD IOP,14,11.40%,5.10%,$320.00,04/25/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,YRX,DTX,10,51.50%,44.80%,"$3,088.20",07/17/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,YRX,CD RTC,25,58.60%,57.80%,"$3,296.40",11/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,YRX,CD PHP,29,31.80%,29.10%,"$1,522.41",06/13/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,ARJ,CD PHP,25,35.70%,34.50%,"$1,096.00",04/12/2022
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,ARJ,CD IOP,25,35.10%,35.10%,"$1,000.00",05/10/2022
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,ARJ,MH IOP,20,34.20%,34.20%,"$1,000.00",06/14/2022
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,C8C,DTX,7,45.50%,28.70%,"$2,453.95",04/04/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,C8C,CD RTC,66,60.00%,57.10%,"$2,970.00",08/21/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,GBR,CD PHP,2,36.90%,9.20%,"$1,200.00",02/22/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,KJU,DTX,7,33.20%,23.20%,"$1,895.84",10/17/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,KJU,CD RTC,24,65.00%,55.60%,"$3,396.25",11/28/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,ONA,CD PHP,7,42.90%,42.90%,"$1,500.00",06/26/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,RWU,CD PHP,6,18.70%,18.70%,$616.00,11/27/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,UCR,DTX,15,48.70%,34.10%,"$2,475.90",08/21/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,UCR,CD RTC,78,46.90%,40.50%,"$2,193.84",09/18/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,UCR,CD PHP,55,28.10%,26.50%,$913.58,10/30/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,UCR,CD IOP,8,35.10%,35.10%,"$1,000.00",10/30/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,YRQ,DTX,7,19.30%,19.30%,"$1,053.00",10/30/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,YRQ,CD RTC,3,18.10%,18.10%,$894.00,11/06/2023
