Insurance Company,BCBS Prefix,LOC,Total Units,Allowed %,Paid %,Avg Daily Rate,Last Paid
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,HFY,DTX,7,45.50%,45.50%,"$2,453.95",10/16/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,HFY,CD RTC,28,51.80%,36.50%,"$2,452.86",11/20/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,HVX,MH PHP,25,22.30%,19.00%,$736.00,04/26/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,HVX,MH IOP,33,19.40%,19.40%,$581.27,05/31/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,MCZ,CD RTC,13,47.80%,32.30%,"$2,364.82",02/21/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,MCZ,CD PHP,16,36.90%,36.90%,"$1,200.00",09/11/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,MED,DTX,6,57.50%,19.90%,"$3,033.12",10/18/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,MED,CD RTC,14,43.00%,41.60%,"$1,870.71",11/11/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,MMQ,DTX,8,37.30%,31.70%,"$2,198.75",01/31/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,MMQ,CD RTC,16,55.00%,49.60%,"$2,598.75",02/07/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,MUJ,DTX,5,44.90%,44.90%,"$2,440.57",03/28/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,MUJ,CD RTC,4,60.00%,60.00%,"$2,970.00",03/28/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,ONI,DTX,5,60.00%,60.00%,"$3,165.00",08/01/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,ONI,CD RTC,25,60.00%,51.20%,"$3,111.00",08/08/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,S8X,DTX,1,65.00%,50.60%,"$3,753.75",11/28/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,SIY,DTX,3,55.00%,55.00%,"$2,901.25",11/29/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,SIY,CD PHP,27,33.00%,33.00%,"$1,067.62",12/20/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,SIY,CD IOP,43,23.80%,18.30%,$627.34,02/22/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,SIY,MH IOP,29,23.70%,23.70%,$647.48,04/04/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,SIY,OP GROUP,15,29.20%,29.20%,$573.61,05/31/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,SQH,DTX,5,53.20%,40.70%,"$2,732.02",03/14/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,UHZ,CD PHP,30,36.90%,30.50%,"$1,200.00",05/31/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,UHZ,CD IOP,30,13.40%,13.40%,$386.72,07/12/2022
